,simulation,n_samples,criterion,n_dimensions,score,runtime
366,Logarithmic,26,mse,10,98311.8428374471,1.2336771488189697
367,Logarithmic,26,mse,10,97832.96594403863,1.094785451889038
368,Logarithmic,26,mse,10,98100.60140340035,1.3127539157867432
369,Logarithmic,26,mse,10,98337.29361228565,1.2052910327911377
370,Logarithmic,26,friedman_mse,10,97071.6400546601,1.1089396476745605
371,Logarithmic,26,friedman_mse,10,97105.7245190861,1.2167279720306396
372,Logarithmic,26,friedman_mse,10,97099.20128804493,1.0941617488861084
373,Logarithmic,26,friedman_mse,10,97834.1103572616,1.3122241497039795
374,Logarithmic,26,friedman_mse,10,97511.67549947202,1.118835210800171
375,Logarithmic,26,friedman_mse,10,97405.66160747726,1.156353235244751
376,Logarithmic,26,friedman_mse,10,97468.00548121682,1.1390800476074219
377,Logarithmic,26,friedman_mse,10,97383.99901235898,1.0704083442687988
378,Logarithmic,26,friedman_mse,10,97075.46210050408,1.1462171077728271
379,Logarithmic,26,friedman_mse,10,97459.01622782294,1.0765092372894287
380,Logarithmic,26,axis,10,94381.4759851982,1.9359958171844482
381,Logarithmic,26,axis,10,94466.36864152242,1.9563305377960205
382,Logarithmic,26,axis,10,94714.43185840461,2.1477997303009033
383,Logarithmic,26,axis,10,94302.89521764121,2.0516469478607178
384,Logarithmic,26,axis,10,94451.8842117972,1.989290475845337
385,Logarithmic,26,axis,10,94191.04457234,2.0534632205963135
386,Logarithmic,26,axis,10,94584.04145823952,2.162773847579956
387,Logarithmic,26,axis,10,94304.68819837004,2.163337230682373
388,Logarithmic,26,axis,10,94395.43748467408,2.0226352214813232
389,Logarithmic,26,axis,10,94557.98204935392,2.162170886993408
390,Logarithmic,26,oblique,10,94235.6603898407,1.4582219123840332
391,Logarithmic,26,oblique,10,93905.68788842452,1.3575966358184814
392,Logarithmic,26,oblique,10,94114.35459441473,1.3139762878417969
393,Logarithmic,26,oblique,10,94016.02931356587,1.3673005104064941
394,Logarithmic,26,oblique,10,94282.39509808892,1.3602709770202637
395,Logarithmic,26,oblique,10,94145.8781497748,1.4059722423553467
396,Logarithmic,26,oblique,10,94117.8810238608,1.3634862899780273
397,Logarithmic,26,oblique,10,94417.18837290986,1.3577632904052734
398,Logarithmic,26,oblique,10,94166.02337914419,1.294809341430664
399,Logarithmic,26,oblique,10,94124.02648374395,1.351130485534668
400,Logarithmic,29,mae,10,96694.32881656315,1.7180821895599365
401,Logarithmic,29,mae,10,97004.42550748517,1.6866137981414795
402,Logarithmic,29,mae,10,97204.6502922763,1.6608405113220215
403,Logarithmic,29,mae,10,97092.49717082467,1.7413692474365234
404,Logarithmic,29,mae,10,96640.73499712252,1.7723941802978516
405,Logarithmic,29,mae,10,96758.17868436998,1.6860697269439697
406,Logarithmic,29,mae,10,96710.71294359247,1.7070460319519043
407,Logarithmic,29,mae,10,96882.9310244318,1.738478422164917
408,Logarithmic,29,mae,10,97114.67744853211,1.7843143939971924
