,sim,n_samples,n_dim,split,mse
355,spiral_sim,30,9,mse,3.9225838607054966
356,spiral_sim,30,9,mse,7.942150775655031
357,spiral_sim,30,9,mse,4.754129117599649
358,spiral_sim,30,9,mse,2.8921154702874197
359,spiral_sim,30,9,mse,4.853082710190829
360,cub_sim,30,1,axis,658.4333059026472
361,cub_sim,30,1,axis,177.18122489211922
362,cub_sim,30,1,axis,390.9389842163639
363,cub_sim,30,1,axis,759.3749334945486
364,cub_sim,30,1,axis,376.64653788867656
365,cub_sim,30,1,axis,436.44507136340104
366,cub_sim,30,1,axis,415.6919619156523
367,cub_sim,30,1,axis,140.50586074438786
368,cub_sim,30,1,axis,1147.33934750397
369,cub_sim,30,1,axis,280.79582341752445
370,spiral_sim,30,1,axis,0.9495037874257195
371,spiral_sim,30,1,axis,1.4204359700355904
372,spiral_sim,30,1,axis,0.6580530355702404
373,spiral_sim,30,1,axis,0.915332390193017
374,spiral_sim,30,1,axis,1.635027093028406
375,spiral_sim,30,1,axis,0.842794831963644
376,spiral_sim,30,1,axis,1.1505991751079359
377,spiral_sim,30,1,axis,1.4371603238255308
378,spiral_sim,30,1,axis,1.3708932897459618
379,spiral_sim,30,1,axis,0.6971130973977847
380,cub_sim,30,2,axis,1099.8840047611473
381,cub_sim,30,2,axis,323.3906111705946
382,cub_sim,30,2,axis,5492.961239047727
383,cub_sim,30,2,axis,7413.6602861473775
384,cub_sim,30,2,axis,6548.9977353564145
385,cub_sim,30,2,axis,3320.3169337875206
386,cub_sim,30,2,axis,702.0503682598959
387,cub_sim,30,2,axis,1041.7165393952685
388,cub_sim,30,2,axis,5518.448857264477
389,cub_sim,30,2,axis,1048.6289292389968
390,spiral_sim,30,2,axis,2.1132437874467076
391,spiral_sim,30,2,axis,2.286800381622761
392,spiral_sim,30,2,axis,0.7866690690018897
393,spiral_sim,30,2,axis,1.0226607614666934
394,spiral_sim,30,2,axis,0.7900482592482674
395,spiral_sim,30,2,axis,1.574005205813459
396,spiral_sim,30,2,axis,0.7975001844479515
397,spiral_sim,30,2,axis,2.3284992290698674
398,spiral_sim,30,2,axis,0.6492547081040232
399,spiral_sim,30,2,axis,1.4704316176328394
400,cub_sim,30,3,axis,452.78526235223785
401,cub_sim,30,3,axis,939.0586313812769
402,cub_sim,30,3,axis,235.47762140209792
