,n_samples,n_dim,split,mse
667,80,5,mae,0.24990996003650395
668,80,5,mae,0.2310925533112811
669,80,5,mae,0.23764545320169414
670,80,6,mae,0.26974438845399956
671,80,6,mae,0.27827685456581813
672,80,6,mae,0.2922473520905585
673,80,6,mae,0.2709839910442075
674,80,6,mae,0.2612165211691128
675,80,6,mae,0.26408419051299503
676,80,6,mae,0.2677656341225014
677,80,6,mae,0.26918046701465725
678,80,6,mae,0.25536281626889984
679,80,6,mae,0.2677355944245613
680,80,7,mae,0.2829743074520513
681,80,7,mae,0.30026065324033935
682,80,7,mae,0.29055610953607663
683,80,7,mae,0.2798638206838709
684,80,7,mae,0.27847837110184426
685,80,7,mae,0.31613380473238034
686,80,7,mae,0.2830866925381007
687,80,7,mae,0.2902952636797264
688,80,7,mae,0.29067987294001346
689,80,7,mae,0.29608004196592946
690,80,8,mae,0.3022467629439487
691,80,8,mae,0.3167838138312736
692,80,8,mae,0.3258224167397421
693,80,8,mae,0.3111491101410625
694,80,8,mae,0.31737642987539283
695,80,8,mae,0.3269115404046954
696,80,8,mae,0.33000747366879835
697,80,8,mae,0.31646343534719124
698,80,8,mae,0.3117783024312102
699,80,8,mae,0.3264748066041311
700,80,9,mae,0.3409134397153691
701,80,9,mae,0.314348353818011
702,80,9,mae,0.3436707886817803
703,80,9,mae,0.33027617833934014
704,80,9,mae,0.3349362758742258
705,80,9,mae,0.34010481511254087
706,80,9,mae,0.3422867235748838
707,80,9,mae,0.327952044947652
708,80,9,mae,0.35020906724799905
709,80,9,mae,0.32372768749564623
710,80,10,mae,0.35019894635050214
711,80,10,mae,0.35028679774057175
712,80,10,mae,0.3514979294837625
713,80,10,mae,0.3529697128283394
714,80,10,mae,0.35057187336979445
715,80,10,mae,0.34073361203406166
716,80,10,mae,0.35861468306498234
717,80,10,mae,0.34211056687421915
718,80,10,mae,0.3617654884379295
719,80,10,mae,0.35999562415022035
720,90,2,mae,0.10397202443078073
721,90,2,mae,0.1131666248704888
722,90,2,mae,0.13135576835358515
723,90,2,mae,0.1249050964629573
724,90,2,mae,0.11835369163472013
725,90,2,mae,0.12502596767948726
726,90,2,mae,0.11221988808532234
727,90,2,mae,0.11421706443297858
728,90,2,mae,0.11066149229487664
729,90,2,mae,0.11349253650525501
730,90,3,mae,0.16487437808597089
731,90,3,mae,0.15815654470791296
732,90,3,mae,0.16820831279321663
733,90,3,mae,0.16510225991897692
734,90,3,mae,0.16337646858731286
735,90,3,mae,0.17542969195443636
736,90,3,mae,0.17635492238497488
737,90,3,mae,0.14927770403179771
738,90,3,mae,0.16962102917113445
739,90,3,mae,0.17712197635997334
740,90,4,mae,0.19794829337036526
741,90,4,mae,0.19549404823352615
742,90,4,mae,0.1979981238610618
743,90,4,mae,0.20503139784532662
744,90,4,mae,0.2025848098261033
745,90,4,mae,0.1943539725846418
746,90,4,mae,0.2061533900821019
747,90,4,mae,0.21050163337910877
748,90,4,mae,0.19345311590060313
749,90,4,mae,0.21547145225318845
750,90,5,mae,0.22904936129160205
751,90,5,mae,0.23439230842242054
752,90,5,mae,0.21881437251370955
753,90,5,mae,0.22098068480691024
754,90,5,mae,0.2130215525521077
755,90,5,mae,0.2266092720217567
756,90,5,mae,0.22968831018811603
757,90,5,mae,0.2258117623039985
758,90,5,mae,0.23739508116865168
759,90,5,mae,0.2295449577332027
760,90,6,mae,0.25668740792931766
761,90,6,mae,0.25968088781181137
762,90,6,mae,0.25057927353684334
763,90,6,mae,0.252829424341735
764,90,6,mae,0.2655768410617293
765,90,6,mae,0.25252733186843385
766,90,6,mae,0.2556417822212529
767,90,6,mae,0.2524404476789871
768,90,6,mae,0.2596631170859774
769,90,6,mae,0.2556845966192125
770,90,7,mae,0.2857807282096387
771,90,7,mae,0.269159067153306
772,90,7,mae,0.2664475998002436
773,90,7,mae,0.28116575336766814
